Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 1


ROM Table

ROM Name      Checksum  Size     Space Remaining
------------  --------  -------  ---------------
U2.ROM        $9300     1024 kB  2 kB (0%)
U3.ROM        $7400     1024 kB  MASKED
U4.ROM        $B600     1024 kB  MASKED
U5.ROM        $6A00     1024 kB  MASKED


Sound Call Table

  Dec  Hex   Trk  Video  Pinball  Description
e 9315 $2463  1    117.6   134.9  Shao Kahn: Motaro shows mercy
e 9320 $2468  1    132.3   151.7  Shao Kahn: Shang Tsung shows mercy
e 9325 $246d  1    113.8   130.6  Shao Kahn: Sheeva shows mercy
e 9330 $2472  1    124.7   143.0  Shao Kahn: Smoke shows mercy
e 9335 $2477  1    119.7   137.3  Shao Kahn: Sonya shows mercy
e 9340 $247c  1    124.7   143.0  Shao Kahn: Stryker shows mercy
e 9345 $2481  1    139.4   159.8  Shao Kahn: Sub-Zero shows mercy
e 9350 $2486  1    119.3   136.8  Shao Kahn: Kung Lao shows mercy
e 9355 $248b  1     68.2    78.2  Shao Kahn: Cyrax
e 9360 $2490  1     79.1    90.7  Shao Kahn: Night Wolf
e 9365 $2495  1     61.1    70.1  Shao Kahn: Sector
e 9370 $249a  1     64.0    73.4  Shao Kahn: Sindel
e 9375 $249f  1    123.9   142.1  Shao Kahn: Cyrax wins
e 9380 $24a4  1    126.4   145.0  Shao Kahn: Night Wolf wins
e 9385 $24a9  1    122.2   140.2  Shao Kahn: Sector wins
e 9390 $24ae  1    123.9   142.1  Shao Kahn: Sindel wins
e 9395 $24b3  1    125.6   144.0  Shao Kahn: Cyrax shows mercy
e 9400 $24b8  1    132.3   151.7  Shao Kahn: Night Wolf shows mercy
e 9405 $24bd  1    128.1   146.9  Shao Kahn: Sector shows mercy
e 9410 $24c2  1    125.6   144.0  Shao Kahn: Sindel shows mercy
e 9415 $24c7  1     67.8    77.8  Shao Kahn: Excellent
e 9420 $24cc  1     90.0   103.2  Shao Kahn: Outstanding
e 9425 $24d1  1     56.5    64.8  Shao Kahn: Danger
e 9430 $24d6  1     83.7    96.0  Shao Kahn: Short Laugh #5 (Danger)

e 9440 $24e0  1    110.5   126.7  Shao Kahn: You will never win
e 9445 $24e5  1    149.8   171.8  Shao Kahn: It's official you suck
e 9450 $24ea  1     77.4    88.8  Shao Kahn: You suck
e 9455 $24ef  1    122.2   140.2  Shao Kahn: That was Pathetic
e 9460 $24f4  1    118.5   135.8  Shao Kahn: You're still trying to win?
e 9465 $24f9  1     52.7    60.5  Shao Kahn: Stryker #2
e 9470 $24fe  1    109.2   125.3  Shao Kahn: Choose your Destiny
e 9475 $2503  1     86.2    98.9  Shao Kahn: Don't make me laugh

e 9500 $251c  1     81.2    93.1  Motaro Yell #1
e 9505 $2521  1     97.5   111.8  Motaro Yell #2
e 9510 $2526  1     62.4    71.5  Motaro Yell #3
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 11


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
e 9515 $252b  1     35.6    40.8  Motaro React #1
e 9520 $2530  1     64.0    73.4  Motaro React #2
e 9525 $2535  1     76.6    87.8  Motaro Taunt

e 9700 $25e4  1     35.2    40.3  Shao Kahn: Attack #1
e 9705 $25e9  1     37.7    43.2  Shao Kahn: Attack #2
e 9710 $25ee  1     26.8    30.7  Shao Kahn: React #1
e 9715 $25f3  1     31.4    36.0  Shao Kahn: React #2
e 9720 $25f8  1     38.9    44.6  Shao Kahn: React #3
e 9725 $25fd  1     49.8    57.1  Shao Kahn: React #4
e 9730 $2602  1     55.2    63.4  Shao Kahn: Wast #1
e 9735 $2607  1     61.9    71.0  Shao Kahn: Wast #2

  10000 $2710  1     82.5    94.6  ER: bizness

  10010 $271a  1     49.0    56.2  ER: mmmm buh
  10015 $271f  1     20.1    23.0  ER: buh #1
  10020 $2724  1     24.7    28.3  ER: buh #2
e 10025 $2729  1     12.6    14.4  Catsup self-destruct beep #1

e 10040 $2738  1     72.8    83.5  Catsup self-destruct fx #1

e 10055 $2747  1     33.1    37.9  Catsup self-destruct laugh
  10060 $274c  1     29.3    33.6  Mustard/Kung Lao slice sound
e 10065 $2751  1     41.9    48.0  Bloody Crunch #1
e 10070 $2756  1     23.0    26.4  Bloody Stab

e 10090 $276a  1     76.2    87.4  Kano laser shoot
e 10095 $276f  1     37.7    43.2  Kano laser shock loop
e 10100 $2774  1    113.0   129.6  Kano laser shock loop (3x)
e 10105 $2779  1     56.5    64.8  Body Smashed/Crushed
e 10110 $277e  1     29.3    33.6  Skeleton falls to ground
e 10115 $2783  1     19.7    22.6  Cabal fatal bubble #1
e 10120 $2788  1     22.6    25.9  Cabal fatal bubble #2
e 10125 $278d  1     23.4    26.9  Cabal fatal bubble #3
e 10130 $2792  1     26.4    30.2  Sub-Zero fatality freeze body
e 10135 $2797  1     59.4    68.2  Crusher machine sound
e 10140 $279c  1     61.1    70.1  Kano Spine Rip
e 10145 $27a1  1     87.9   100.8  Whirlwind/Tornado sound (1x)
e 10150 $27a6  1    263.7   302.4  Whirlwind/Tornado sound (3x)
e 10155 $27ab  1     56.5    64.8  Morph into flame
e 10160 $27b0  1     28.0    32.2  Flame comes down from abaove
e 10165 $27b5  1    144.8   166.1  Engulfed by flames
e 10170 $27ba  1     36.4    41.8  Liu Kang motion blur/skin rip
e 10175 $27bf  1     36.8    42.2  Turn into stone
e 10180 $27c4  1    108.4   124.3  Catsup Big Self-Destruct Explosion
e 10185 $27c9  1     35.6    40.8  Head inflate
e 10190 $27ce  1     36.4    41.8  Night Wolf Lite Start
e 10195 $27d3  1     72.4    83.0  Night Wolf Lite Loop
e 10200 $27d8  1     46.9    53.8  Night Wolf Lite End
e 10205 $27dd  1    228.1   261.6  Night Wolf Lite Example (2x)
e 10210 $27e2  1     21.8    25.0  Doggie Yip
 
Mortal Kombat III (c) 1994 Williams - DWF (03/24/95 03:31:31) page 12


Sound Call Table (continued)

  Dec  Hex   Trk  Video  Pinball  Description
  ---- ----- --- ------- -------  -----------
e 10215 $27e7  1     82.5    94.6  Doggie Whine
e 10220 $27ec  1     59.4    68.2  Swords from Ground
e 10225 $27f1  1     34.7    39.8  Scorpion (Smoke) teleport
e 10230 $27f6  1     95.4   109.4  Scorpion (Smoke) spear
e 10235 $27fb  1    160.3   183.8  Baby #1

e 10245 $2805  1     69.9    80.2  Final Death Quake Loop
e 10250 $280a  1    228.1   261.6  Shao Kahn Death Scream
e 10255 $280f  1    209.7   240.5  Final Death Quake Loop Crescendo (3x)
e 10260 $2814  1     20.9    24.0  Jax arm morph
e 10265 $2819  1     41.9    48.0  Stryker bomb fuse start
e 10270 $281e  1     55.2    63.4  Stryker bomb fuse loop (2x)
e 10275 $2823  1     40.2    46.1  Pit Fatality Machine Loop (2x)
e 10280 $2828  1     21.8    25.0  Sindel Skin Rip Scream Start
e 10285 $282d  1     80.4    92.2  Sindel Skin Rip Scream Loop (8x)
e 10290 $2832  1     30.1    34.6  Sindel Skin Rip Scream End
e 10295 $2837  1    131.8   151.2  Sindel Skin Rip Example (8x loop)
e 10300 $283c  1     66.1    75.8  Sub-Zero Fatality Smash
e 10305 $2841  1    172.9   198.2  S T/Sonya Energy Cloud Loop
e 10310 $2846  1     34.3    39.4  S T/Sonya Energy Cloud Loop End
e 10315 $284b  1     74.9    85.9  Night Wolf Lightning Strike
e 10320 $2850  1     74.9    85.9  Night Wolf Lightning Build-Up
e 10325 $2855  1     98.4   112.8  Sonya orb trajectory
e 10330 $285a  1    565.9   649.0  Pit Fatality Machine Fade-Up and Out
e 10335 $285f  1     87.9   100.8  Sheeva Plate Spinning (1x)
e 10340 $2864  1     32.2    37.0  Sonya blows orb
e 10345 $2869  1     31.8    36.5  Slide Whistle (strength meter/snowman)
e 10350 $286e  1     61.1    70.1  Friendship: Really loud horn blow
e 10355 $2873  1     49.0    56.2  Friendship: Stryker crossing guard whistle
e 10360 $2878  1     10.5    12.0  Friendship: Short whistle
e 10365 $287d  1     77.4    88.8  Cabal Ugly Face Scream
  10370 $2882  1     26.8    30.7  Cabal takes off mask
e 10375 $2887  1     59.4    68.2  Shang Tsung Throw Fire Skulls
e 10380 $288c  1     47.7    54.7  Acid sizzle Part 1
  10385 $2891  1     46.0    52.8  Acid sizzle Part 2
e 10390 $2896  1     33.5    38.4  Shao Kahn Light Puncture #1

e 20005 $4e25  1     42.7    49.0  Animality Wasp Loop
e 20010 $4e2a  1     39.3    45.1  Animality Wasp Sting
e 20015 $4e2f  1     83.3    95.5  Animality Hiss (Spider/Snake/Scorpion)
e 20020 $4e34  1     78.3    89.8  Generic Big Animality Roar
e 20025 $4e39  1     47.3    54.2  Wolf Maul Growl
e 20030 $4e3e  1     67.0    76.8  Animality Bird/Bat

Total 2513 Sound Calls

Summary (EPROM and MASKED)

Total Average Bitrate:  47.4 kbits/sec
Total Time:             11:23.497 minutes
Total Number of .CMP's: 538
Total Size of .CMP's:   3.86 megabytes

